OID_,Id,Join_Cou_1,Join_Cou_2,Join_Cou_3,Join_Cou_4,Join_Cou_5,Join_Cou_6,Join_Cou_7,Join_Cou_8,Join_Cou_9,Join_Co_10,Join_Co_11,Join_Co_12,Join_Co_13,Join_Co_14,Join_Co_15,distance
208,0,42,237,3508,8,19,9,17,303,32,7189,2,3,169,0,69,12937
209,0,20,301,3127,29,18,5,43,341,63,6143,0,19,218,0,87,12548
210,0,26,197,1914,10,10,3,23,292,57,2895,1,2,129,0,79,15822
211,0,6,35,326,2,2,0,4,19,9,649,0,0,53,0,13,21118
212,0,0,11,190,0,1,0,2,5,4,392,0,0,38,0,9,27283
213,0,0,16,270,1,3,0,1,11,7,540,0,0,59,0,6,33845
214,0,0,5,19,0,0,0,1,1,10,35,0,0,10,0,2,40613
215,0,0,1,14,0,0,0,0,2,8,21,0,0,6,0,3,47498
216,0,0,14,38,1,1,0,0,4,7,216,0,0,10,0,4,54456
217,0,0,8,44,0,0,0,1,4,8,80,0,0,3,0,5,61463
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68503
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75567
220,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,78387
221,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,71464
222,0,0,8,10,1,0,0,1,8,6,10,0,0,1,0,1,64593
223,0,0,27,40,0,0,0,1,47,17,21,0,0,6,0,0,57796
224,0,14,87,506,1,3,1,7,741,56,694,0,0,32,0,23,51099
225,0,0,18,203,0,0,0,1,35,9,574,0,0,62,0,2,44550
226,0,0,34,150,0,2,0,4,11,16,454,0,0,44,0,9,38223
227,0,16,35,274,1,3,1,8,22,35,428,0,0,71,0,11,32249
228,0,42,382,2000,23,4,5,4,239,28,3184,2,2,103,0,66,26867
229,0,32,129,1174,7,26,3,12,232,32,1992,1,0,87,0,54,22504
230,0,48,117,1273,2,10,2,11,144,19,3742,0,0,102,0,41,19844
231,0,6,101,1029,12,5,2,14,101,29,2593,0,8,119,0,37,19593
232,0,130,712,4303,36,16,15,18,646,86,6124,0,5,237,0,113,21835
233,0,0,89,505,5,53,0,1,40,10,2385,0,0,80,0,31,25930
234,0,0,71,470,8,19,0,4,28,21,2092,0,0,75,0,36,31157
235,0,52,242,1561,12,24,4,12,121,25,2234,0,0,106,0,64,37039
236,0,104,213,1138,6,2,5,11,277,26,1513,1,0,49,0,37,43311
237,0,0,4,112,0,1,0,1,7,5,307,0,0,2,0,2,49825
238,0,4,8,46,1,1,0,0,7,5,329,0,0,14,0,1,56497
239,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,63278
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70136
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77050
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80460
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73731
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67093
245,0,0,16,82,0,0,0,0,350,6,15,0,0,0,0,7,60577
246,0,0,138,531,1,1,1,2,1143,96,394,0,0,25,0,35,54225
247,0,12,48,280,1,1,1,2,293,11,567,1,0,61,0,8,48102
248,0,14,22,217,0,2,0,3,20,14,511,0,0,54,0,3,42310
249,0,32,69,640,2,3,2,8,47,33,1141,1,0,85,0,21,37003
250,0,0,35,216,2,1,2,4,10,13,478,1,0,49,0,12,32420
251,0,0,82,560,1,2,1,8,42,24,1173,0,0,50,0,27,28907
252,0,0,118,1020,1,5,2,7,46,12,2020,0,0,125,0,24,26888
253,0,0,18,179,0,0,0,2,1,10,448,0,0,77,0,10,26703
254,0,0,41,330,1,4,0,4,3,13,903,0,0,56,0,17,28389
255,0,26,383,2333,19,19,8,14,141,18,3376,1,0,127,0,67,31647
256,0,16,44,180,1,5,1,6,8,16,278,0,0,41,0,22,36055
257,0,0,40,241,3,0,0,1,18,10,572,0,0,24,0,14,41244
258,0,0,0,16,0,0,0,1,4,7,35,0,0,12,0,0,46957
259,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,53025
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59339
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65828
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72445
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79158
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83100
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76604
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70239
267,0,0,3,4,0,0,0,0,87,2,1,0,0,0,0,1,64043
268,0,0,38,91,0,0,0,3,147,21,89,0,0,17,0,4,58071
269,0,198,524,2717,31,1,7,18,743,43,4315,2,0,236,0,77,52400
270,0,0,38,267,1,1,1,1,30,11,589,1,0,52,0,5,47139
271,0,0,19,178,0,0,0,1,35,22,409,0,0,51,0,12,42440
272,0,0,24,228,0,7,0,2,8,9,415,0,0,40,0,6,38509
273,0,72,462,2897,16,52,5,19,200,42,4328,3,0,165,0,112,35603
274,0,0,16,282,0,4,0,1,22,9,588,0,0,40,0,11,33984
275,0,8,116,597,4,77,1,0,88,12,1372,0,0,46,0,20,33838
276,0,4,13,11,0,0,0,0,0,2,45,0,1,9,0,1,35184
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37862
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41616
279,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,46185
280,0,0,0,2,0,0,0,1,1,3,2,0,0,0,0,13,51351
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56953
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62873
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69031
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75367
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81841
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86258
287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80018
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73947
289,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,68089
290,0,0,5,35,0,0,0,0,12,3,13,0,0,15,0,7,62506
291,0,62,431,2039,15,14,2,16,736,169,2281,1,0,146,0,90,57276
292,0,8,32,381,0,3,0,2,36,9,782,0,0,26,0,17,52505
293,0,0,18,98,0,0,1,2,13,10,248,0,0,21,0,8,48331
294,0,0,19,200,0,0,0,1,9,12,508,0,0,45,0,6,44919
295,0,18,58,393,2,3,1,5,20,10,566,0,0,60,0,11,42453
296,0,0,10,215,1,1,0,1,11,9,442,0,0,22,0,12,41105
297,0,0,11,65,0,1,0,0,3,2,253,0,0,21,0,7,40984
298,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,42102
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44365
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47609
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51650
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56317
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61468
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66991
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72801
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78835
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85045
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89877
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83907
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78138
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72620
312,0,0,5,3,0,0,0,0,19,0,3,0,0,0,0,0,67412
313,0,0,8,33,0,0,0,0,73,13,24,0,0,0,0,6,62594
314,0,0,9,19,1,0,0,1,6,7,32,0,0,0,0,5,58260
315,0,0,7,66,0,0,0,3,22,13,74,0,0,3,0,9,54528
316,0,0,16,202,1,0,0,1,29,20,207,0,0,19,0,24,51528
317,0,0,33,54,1,0,0,0,2,4,86,0,0,34,0,5,49394
318,0,0,18,158,1,0,0,0,7,9,381,0,0,15,0,7,48240
319,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,48137
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49092
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51046
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53889
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57491
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61718
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66451
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71591
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77055
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82779
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88713
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93905
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88208
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82740
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77549
334,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,72696
335,0,0,2,3,0,0,0,0,19,3,0,0,0,0,0,0,68251
336,0,0,3,5,0,0,0,0,15,5,1,0,0,0,0,5,64300
337,0,0,11,49,0,0,0,1,30,11,18,0,0,6,0,5,60939
338,0,0,17,209,0,0,0,1,59,11,337,0,0,4,0,12,58270
339,0,0,11,60,0,0,0,0,14,18,57,0,0,12,0,9,56391
340,0,0,12,39,0,0,0,0,2,2,69,0,0,3,0,3,55383
341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55294
342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56127
343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57844
344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60368
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63604
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67449
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71805
348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76586
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81717
350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87135
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92792
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98291
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92863
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87686
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82806
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78279
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74170
358,0,0,4,7,0,0,0,0,19,7,0,0,0,0,0,0,70551
359,0,0,58,133,0,0,0,0,174,7,120,0,0,7,0,15,67502
